name,space,neighbourhood_cleansed,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,amenities,square_feet,price,cleaning_fee,minimum_nights,maximum_nights,reviews_per_month,host_acceptance_rate
CBG CtyBGd HelpsHaiti rm#1:1-4,"Welcome to CommunityBeGood,(URL HIDDEN)    30% of guest fees we donate to our partner Haitian - led groups;   informal Brooklyn guest house on Park Place  for people wanting travel stays tied into local neighborhood of Park Slope and to have their fees help  support local to global social projects. We offer  free wireless, cable TV in each room; Located 20  minutes from Manhattan by close subway, and steps from  Brooklyn's Fifth Avenue trendy cafes and shops/ BAM Brooklyn Academy of Music; ten minutes from Brooklyn Museum and Botanic Gardens.",Park Slope,40.6796,-73.97745,Bed and breakfast,Private room,3.5,1,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$115.00,$15.00,1,1125,1.16,86%
Magnifique Suite au N de Manhattan - vue Cloitres,,Inwood,40.86754,-73.92639,Apartment,Private room,1,1,1,"{Internet,Wifi,Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""High chair"",""Children’s books and toys"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}",700,$80.00,$25.00,4,7,,N/A
back room/bunk beds,"_________________________________________________ F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q.  FREQUENTLY ASKED QUESTIONS -------------------------------------------------------------------------------------- Hi, are xx-xx dates available? check the calendar, if there's availability, feel free to make a booking, i've had many times other guests book the dates someone is looking for because they are writing to ask me if the days they want are available.  --------------- Where are you located?? check the tab on this listing that says ""location"", that will show you where i live, and where you will be located in relation to wherever you would like to visit. --------------- How far away are you from X? times square- 15 minutes central park 10-20min(depends where, it's big) midtown west 15 minutes midtown east 20-25 minutes union square 25 minutes   east village 30 minutes downtown 30-35 minutes again, look at the ""location"" tab/link on this listing. do you know the address? i ha",Harlem,40.8213,-73.95318,Apartment,Private room,1,1,2,"{Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$50.00,$15.00,3,365,2.32,100%
Large B&B Style rooms,"Private Rooms for Rent (Phone number hidden by Airbnb) EVERYTHING IS INCLUDED!!! JUST BRING YOUR CLOTHES.  $70  Low monthly rental rate  Offering a lovely furnished private rooms with full kitchen and bathroom in a brand new home for male or female. Perfect for travelers, students, international guests.  Included:  All Utilities  Comfortable bed or pullout sofa (full size with fine linens, soaps and towels)  Fully equipped Kitchen and bath  All Rooms are extremely Clean and large  TV, High speed internet cable  Wireless internet  Housekeeping  Laundry room on premises  Great location: Franklin Avenue in Downtown Brooklyn.  Clean and Safe area. Two blocks from the A, C, and Shuttle train to the B, Q. Quick stops to Manhattan. Close to shopping area.",Bedford-Stuyvesant,40.6831,-73.95473,Apartment,Private room,1,1,0,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",,$70.00,,1,730,0.62,60%
Cute apt in artist's home,"Our basement room with private bathroom and kitchenette is located in our home where we reside upstairs. There are custom-made artistic details throughout the apartment, including beautiful steel banister, thick maple wood bench, sculptural metal table and unique sculpture throughout. Interesting concave yellow bathroom tiles light up the bathroom. Bushwick is a vibrant community with lots of restaurants, bars, art galleries, cafes and street art. We are renting a private basement apartment in our home. The apartment has a separate bedroom, private bathroom and kitchenette with mini fridge and coffee maker (there is no stove for cooking).  You will have use of a hair dryer. There are small windows in the bedroom and kitchenette area. The bathroom and kitchenette are all newly built. Full size bed sleeps 2 people. We cannot accommodate more than 2 people, sorry!  This is a great place to stay if you're looking for grass-roots art and music and cool places off the beaten track. You will ",Bushwick,40.70186,-73.92745,Apartment,Entire home/apt,1,1,1,"{Internet,Wifi,Heating,Washer,Dryer}",,$85.00,$50.00,2,50,2.09,100%
Country space in the city,"Ditmas Park. Entire 3rd floor.  2 large rooms Sunny tree lined quiet street.  2 1/2 blocks to B express or Q local trains. 30 minutes to midtown. Light Breakfast included.  Organic food co-op, restaurants (3-4), pizza parlor in neighborhood.  ",Flatbush,40.63702,-73.96327,House,Private room,1,1,2,"{Internet,Wifi,""Air conditioning"",Kitchen,Washer/Dryer,Breakfast,Heating,Washer,Dryer}",,$150.00,,1,730,,0%
LowerEastSide apt share shortterm 1,"Don't stay at a hostel! Stay with me in my lower east side apartment. ( Before reading description, PLEASE NOTE: do not automatically book with out messaging me first.) Cute, cozy, 1 bdrm apt in hip lower east side of Manhattan to share for short term stays - 1 person only for this particular listing (possible 2nd person (***no couples, see below***) Good situation for tourist looking for cheap place to stay that is more private and homey than a hostel or someone moving to NY and looking for a home base while you look for something more permanent or someone here in NYC for short term work/business.  I have a new comfy sofa sleeper in living room. The apartment is small with separate rooms for bedroom and living room. I would stay in bedroom, guest on sofa sleeper in living room. The rooms are adjoined and I would have to walk through living room to get to kitchen and bathroom, so not 100% private. I have plenty of towels, linens, blankets, etc. Sometimes there may be a 3rd person stayi",Lower East Side,40.71401,-73.98917,Apartment,Shared room,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Fire extinguisher"",Shampoo}",,$40.00,$0.00,1,28,1.73,26%
ENJOY Downtown NYC!,"You get your own room with comfortable queen size bed in 8x10 space.  Has plenty of storage & desk with fan & air conditioner during warmer months.  Good for short and long stays.   You will share the kitchen & bathroom with other guests and my roommate. Best for budget travelers looking for a safe, clean, convenient home base to experience NYC. Again it is in a three bedroom BASEMENT apartment with little sunlight.  FYI:  you must enter through building courtyard to get to apartment - so you will pass recycling & the garbage room. Experienced Host - ask me any questions you may have and read some of the reviews. Hundreds of guests have enjoyed NYC from this humble abode, and I have made it quite comfy but it is a simple space.   If you have any questions or concerns before or during your stay please communicate!  For travelers wanting to be in an awesome neighborhood for an affordable price, this is one of the best options out there.  --------------------------------",East Village,40.7229,-73.98199,Apartment,Private room,1,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Host greets you""}",,$68.00,$30.00,2,75,2.06,68%
BEST BET IN HARLEM,"Centrally located in the heart of Harlem located just steps away from major tourists destinations such as: The Schomburg Center for Research in Black Culture, The Apollo Theater, The Studio Museum of Harlem, Abyssinian Baptist Church, Striver’s Row, the Theresa Hotel, Astor Row, and the legendary Jungle Alley, is this beautiful West 131st Street apartment.   Open, airy, 1,000 Sq. Ft. one bedroom apartment centrally located in a brownstone in the heart of Harlem.  1-2 Guests $150 a night; 3-4 Guests $175 a night 	17 ft. ceilings, top floor, skylights, private 	Sleeps up to 4 (1 queen-sized bed, pullout sofa-bed, blow up mattress available upon request) 	Close to transportation: 15-20 minutes to midtown 	wifi internet service, cable television, cd player/radio 	close to 2 major supermarkets ",Harlem,40.81175,-73.94478,Apartment,Entire home/apt,1,1,1,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly""}",1,$150.00,,7,730,0.86,100%
Entire apartment in central Brooklyn neighborhood.,Spacious 1 bedroom apt in Prospect-Lefferts Garden neighborhood. The large living room can convert into an additional sleeping space for your stay using a queen sofa bed.  WiFi. Balcony has lovely view of Prospect park and Eastern Brooklyn.     Safe building with 24 hr security.,Prospect-Lefferts Gardens,40.65944,-73.96238,Apartment,Entire home/apt,1,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,Elevator,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",Other,""Paid parking on premises""}",,$150.00,$125.00,14,240,0.42,73%
"1 Stop fr. Manhattan! Private Suite,Landmark Block","Beautifully renovated bedroom suite in 1890 Townhouse on historic block, only 5 minutes from Manhattan.  Dedicated entrance under stoop to foyer leading to bedroom suite assures privacy (my daytime office/library is in the rear of this floor). Includes one double bed (sleeps 2), & one  thick futon sofa bed (sleeps 2 addit'l ).Microwave, small refrigerator, coffee maker in room.  THERE IS NO TV. NO COOKING . WIFI available. A friendly, medium sized dog (Gus) is on the premises.   Private Bathroom (walk-in shower stall big enough for two).  Soap, Shampoo, Clean towels, hairdryer provided.  Housekeeper once a week.   Beautiful rear garden access to enjoy store bought breakfast. Close to East River waterfront promenade , MOMA/PS1 Museum, restaurants, shops, food market, laundry, post office.  Currently four  subway lines available only a block away ! Many films and TV series were filmed on the block during the year, including classics like 'Sex & The City, The Sopranos"", and currently, ""Wh",Long Island City,40.74771,-73.9474,Townhouse,Private room,1,1,2,"{Internet,Wifi,""Air conditioning"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Garden or backyard"",""Luggage dropoff allowed"",""Host greets you""}",,$130.00,$0.00,2,20,2.35,93%
Charming Brownstone 3 - Near PRATT,"If you're traveling to New York City don’t settle for a cramped hotel room. Stay in an Historic Brownstone and get a true taste of living as a New Yorker.  This 1 bedroom apartment with attached den, is best suited for 2 guests, but can sleep 4.  It is truly charming, with tin ceilings, hardwood floors,  newly renovated  bathroom & kitchen with stainless steel appliances. It also includes free wifi internet!  Living room has a sofa bed and there is a daybed in the small room. Best suited for 2 or a family of 4.  This is a 1.5 bed room apartment- 1 large bedroom with private den attached.  Located in the Bedstuy/ Clinton Hill neighborhood of Downtown Brooklyn. We're across the street from the C Train & S Shuttle that connects to the 2, 3, 4, 5, & Q trains. 2 blocks from the A Express train & the Long Island Railroad and near all major bus lines.  Close to shopping, theaters and tourist attractions including The Brooklyn Museum, Brooklyn Academy of Music, Brooklyn Botanical Garden, Brook",Bedford-Stuyvesant,40.68111,-73.95591,Apartment,Entire home/apt,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""Self check-in"",Lockbox,""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics""}",,$110.00,$100.00,7,365,0.52,100%
